section,file,category,date,title,speaker,location,summary,url
Ajahn Chah Weekend,Ajahn Chah Weekend/Ajahn Chah Weekend - 24 - Guided Meditation Led by Ajahn Sundara.mp3,Sunday Morning,2001-04-29,Guided Meditation Led by Ajahn Sundara,,,,
Ajahn Chah Weekend,Ajahn Chah Weekend/Ajahn Chah Weekend - 25 - Ajahn Chah Teaching Read by Joseph Kappel.mp3,Sunday Morning,2001-04-29,Ajahn Chah Teaching Read by Joseph Kappel,,,,
Ajahn Chah Weekend,Ajahn Chah Weekend/Ajahn Chah Weekend - 26 - Reflections by Jack Kornfield.mp3,Sunday Afternoon,2001-04-29,Reflections by Jack Kornfield,,,,
Ajahn Chah Weekend,Ajahn Chah Weekend/Ajahn Chah Weekend - 27 - Metta Chant Led by Ajahn Sundara.mp3,Sunday Afternoon,2001-04-29,Metta Chant Led by Ajahn Sundara,,,,
Ajahn Chah Weekend,Ajahn Chah Weekend/Ajahn Chah Weekend - 28 - Ajahn Chah Training by Kittisaro.mp3,Sunday Afternoon,2001-04-29,Ajahn Chah Training by Kittisaro,,,,
Ajahn Chah Weekend,Ajahn Chah Weekend/Ajahn Chah Weekend - 29 - Ajahn Chah Training by Paul Breiter.mp3,Sunday Afternoon,2001-04-29,Ajahn Chah Training by Paul Breiter,,,,
Ajahn Chah Weekend,Ajahn Chah Weekend/Ajahn Chah Weekend - 30 - Ajahn Chah Training by Ajahn Sumedho.mp3,Sunday Afternoon,2001-04-29,Ajahn Chah Training by Ajahn Sumedho,,,,
Ajahn Chah Weekend,Ajahn Chah Weekend/Ajahn Chah Weekend - 31 - Question & Answer 5 - Ajahn Chah Training.mp3,Sunday Afternoon,2001-04-29,Question & Answer 5 - Ajahn Chah Training,,,,
Ajahn Chah Weekend,Ajahn Chah Weekend/Ajahn Chah Weekend - 32 - Ajahn Chah Stories - Part 1.mp3,Sunday Afternoon,2001-04-29,Ajahn Chah Stories - Part 1,,,,
Ajahn Chah Weekend,Ajahn Chah Weekend/Ajahn Chah Weekend - 33 - Ajahn Chah Stories - Part 2.mp3,Sunday Afternoon,2001-04-29,Ajahn Chah Stories - Part 2,,,,
Ajahn Chah Weekend,Ajahn Chah Weekend/Ajahn Chah Weekend - 34 - Last Years Of Ajahn Chah's Life.mp3,Sunday Afternoon,2001-04-29,Last Years Of Ajahn Chah's Life,,,,
Ajahn Chah Weekend,Ajahn Chah Weekend/Ajahn Chah Weekend - 35 - Final Reflections by Ajahn Sumedho.mp3,Sunday Afternoon,2001-04-29,Final Reflections by Ajahn Sumedho,,,,
Ajahn Chah Weekend,Ajahn Chah Weekend/Ajahn Chah Weekend - 36 - Final Chant.mp3,Sunday Afternoon,2001-04-29,Final Chant,,,,
Abhayagiri's 20th Anniversary,Abhayagiri's 20th Anniversary/Abhayagiri's 20th Anniversary - 01 - Opening Remarks by Ajahn Pasanno.mp3,Main,2016-06-04,Opening Remarks by Ajahn Pasanno,,,,
Abhayagiri's 20th Anniversary,Abhayagiri's 20th Anniversary/Abhayagiri's 20th Anniversary - 02 - Agenda.mp3,Main,2016-06-04,Agenda,,,,
Abhayagiri's 20th Anniversary,Abhayagiri's 20th Anniversary/Abhayagiri's 20th Anniversary - 03 - Ajahn Maha Prasert.mp3,Main,2016-06-04,Reflections by Ajahn Maha Prasert,,,,
Abhayagiri's 20th Anniversary,Abhayagiri's 20th Anniversary/Abhayagiri's 20th Anniversary - 04 - Dharma Master Heng Lyu.mp3,Main,2016-06-04,Reflections by Dharma Master Heng Lyu,,,,
Abhayagiri's 20th Anniversary,Abhayagiri's 20th Anniversary/Abhayagiri's 20th Anniversary - 05 - Dharma Master Heng Shun.mp3,Main,2016-06-04,Reflections by Dharma Master Heng Shun,,,,
Abhayagiri's 20th Anniversary,Abhayagiri's 20th Anniversary/Abhayagiri's 20th Anniversary - 06 - Father Damien.mp3,Main,2016-06-04,Reflections by Father Damien,,,,
Abhayagiri's 20th Anniversary,Abhayagiri's 20th Anniversary/Abhayagiri's 20th Anniversary - 07 - Marc Lieberman.mp3,Main,2016-06-04,Reflections by Marc Lieberman,,,,
Abhayagiri's 20th Anniversary,Abhayagiri's 20th Anniversary/Abhayagiri's 20th Anniversary - 08 - Susan Barber.mp3,Main,2016-06-04,Reflections by Susan Barber,,,,
Abhayagiri's 20th Anniversary,Abhayagiri's 20th Anniversary/Abhayagiri's 20th Anniversary - 09 - Fred Kral.mp3,Main,2016-06-04,Reflections by Fred Kral,,,,
Abhayagiri's 20th Anniversary,Abhayagiri's 20th Anniversary/Abhayagiri's 20th Anniversary - 10 - Noel Brewer.mp3,Main,2016-06-04,Reflections by Noel Brewer,,,,
Abhayagiri's 20th Anniversary,Abhayagiri's 20th Anniversary/Abhayagiri's 20th Anniversary - 11 - Peter Mayland.mp3,Main,2016-06-04,Reflections by Peter Mayland,,,,
Abhayagiri's 20th Anniversary,Abhayagiri's 20th Anniversary/Abhayagiri's 20th Anniversary - 12 - Mark Sponseller.mp3,Main,2016-06-04,Reflections by Mark Sponseller,,,,
Abhayagiri's 20th Anniversary,Abhayagiri's 20th Anniversary/Abhayagiri's 20th Anniversary - 13 - Debbie Stamp.mp3,Main,2016-06-04,Reflections by Debbie Stamp,,,,
Abhayagiri's 20th Anniversary,Abhayagiri's 20th Anniversary/Abhayagiri's 20th Anniversary - 14 - Ajahn Karunadhammo.mp3,Main,2016-06-04,Reflections by Ajahn Karuṇadhammo,,,,
Abhayagiri's 20th Anniversary,Abhayagiri's 20th Anniversary/Abhayagiri's 20th Anniversary - 15 - Ajahn Amaro.mp3,Main,2016-06-04,Reflections by Ajahn Amaro,,,,
Abhayagiri's 20th Anniversary,Abhayagiri's 20th Anniversary/Abhayagiri's 20th Anniversary - 16 - Closing Remarks by Ajahn Pasanno.mp3,Main,2016-06-04,Closing Remarks by Ajahn Pasanno,,,,
